GHCND:USW00003017,DENVER INTERNATIONAL AIRPORT CO US,"DEN"
GHCND:USW00003927,DAL FTW WSCMO AIRPORT TX US,"DFW"
GHCND:USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,"ATL"
GHCND:USW00013881,CHARLOTTE DOUGLAS AIRPORT NC US,"CLT"
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,"LAS"
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,"LAX"
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,"PHX"
GHCND:USW00023234,SAN FRANCISCO INTERNATIONAL AIRPORT CA US,"SFO"
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,"JFK"
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,"ORD"
